distance,velocity,variation_velocity,risk
32.90,29.13,-17.00,3
4.90,28.13,-1.00,3
391.90,0.00,-28.10,1
189.20,202.70,202.70,3
133.10,56.10,-146.50,3
76.60,56.50,0.40,3
48.30,28.30,-28.20,3
5.00,43.30,15.00,3
461.60,0.00,-43.30,1
335.20,126.40,126.40,3
258.90,76.20,-50.20,1
152.10,106.90,30.60,3
141.10,11.00,-95.90,2
20.80,120.30,109.30,3
452.90,0.00,-120.30,1
381.50,71.40,71.40,1
324.60,56.90,-14.40,1
267.90,56.70,-0.30,1
146.20,121.70,65.00,3
102.10,44.20,-77.50,2
76.90,25.20,-19.00,3
4.60,72.30,47.20,3
368.10,0.00,-72.30,1
292.00,76.10,76.10,1
231.20,60.80,-15.30,1
175.30,56.00,-4.80,2
125.10,50.20,-5.70,2
79.40,45.60,-4.60,3
40.30,39.10,-6.50,3
19.13,21.20,-17.90,3
35.50,-16.40,-37.60,3
318.20,0.00,16.40,1
118.90,199.40,199.40,3
42.90,75.90,-123.40,3
444.60,0.00,-75.90,1
324.20,120.40,120.40,2
198.50,125.70,5.30,3
125.10,73.50,-52.20,3
81.50,43.50,-30.00,3
496.10,0.00,-43.50,1
366.80,129.30,129.30,2
310.70,56.10,-73.30,1
256.50,54.20,-1.90,1
140.50,116.00,61.90,3
91.70,48.80,-67.20,2
427.20,0.00,-48.80,1
345.70,81.50,81.50,1
289.60,56.10,-25.40,1
164.60,125.00,68.90,3
111.90,52.70,-72.30,2
127.00,-15.10,-67.80,1
387.50,0.00,15.13,1
328.70,58.80,58.80,1
265.50,63.20,4.40,1
207.90,57.60,-5.60,1
152.40,55.50,-2.10,2
105.00,47.40,-8.10,2
66.80,38.20,-9.20,2
30.70,36.20,-2.00,2
15.90,14.80,-21.40,2
244.70,0.00,-14.80,1
185.20,59.50,59.50,2
34.60,150.60,91.00,3
3.80,30.80,-119.70,3
277.30,0.00,-30.80,1
167.10,110.30,110.30,3
118.30,48.70,-61.50,2
65.80,52.60,3.80,3
36.40,29.40,-23.20,3
16.60,19.80,-9.60,3
458.40,0.00,-19.80,1
389.10,69.30,69.30,1
332.90,56.20,-13.00,1
282.40,50.50,-5.70,1
163.30,119.10,68.60,3
118.80,44.40,-74.70,2
77.30,41.60,-2.80,3
406.30,0.00,-41.60,1
330.30,76.00,76.00,1
274.20,56.10,-19.90,1
218.50,55.70,-0.50,1
174.70,43.80,-11.90,2
120.80,53.90,10.13,2
81.20,39.60,-14.20,2
44.30,36.90,-2.80,3
5.30,39.00,02.13,3
108.10,0.00,-39.00,1
72.50,35.60,35.60,3
42.60,30.00,-5.60,3
526.50,0.00,-30.00,1
458.20,68.30,68.30,1
384.10,74.10,5.80,1
288.30,95.70,21.60,2
209.80,78.60,-17.20,1
141.30,68.50,-10.10,2
84.20,57.10,-11.30,2
39.30,44.90,-12.30,3
29.70,9.60,-35.30,3
343.60,0.00,-9.60,1
58.30,285.30,285.30,3
12.40,45.80,-239.50,3
403.60,0.00,-45.80,1
311.80,91.80,91.80,2
195.70,116.10,24.40,3
79.80,115.90,-0.30,3
53.80,26.00,-89.90,3
64.10,-10.30,-36.20,2
316.80,0.00,10.30,1
223.70,93.10,93.10,3
98.20,125.50,32.40,3
51.60,46.70,-78.90,3
8.80,42.80,-3.90,3
75.80,-67.10,-109.80,2
65.70,10.20,77.20,3
511.60,0.00,-10.20,1
366.90,144.70,144.70,2
291.30,75.60,-69.10,1
146.70,144.60,68.90,3
97.80,48.90,-95.70,2
81.10,16.70,-32.20,2
340.40,0.00,-16.70,1
214.70,125.70,125.70,3
148.50,66.20,-59.50,2
97.30,51.20,-15.00,3
43.20,54.10,2.90,3
29.90,13.30,-40.80,3
6.20,23.70,10.40,3
386.40,0.00,-23.70,1
237.40,149.00,149.00,3
137.90,99.50,-49.50,3
78.20,59.70,-39.80,3
44.20,34.00,-25.70,3
334.70,0.00,-34.00,1
221.60,113.10,113.10,3
71.00,150.60,37.50,3
55.80,15.20,-135.30,3
173.40,0.00,-15.20,3
71.70,101.70,101.70,3
49.50,22.20,-79.50,3
506.70,0.00,-22.20,1
373.40,133.30,133.30,1
297.70,75.70,-57.60,1
223.90,73.80,-1.90,1
161.30,62.50,-11.30,2
92.20,69.20,6.70,3
442.40,0.00,-69.20,1
341.50,100.90,100.90,3
243.60,97.90,-3.00,2
161.70,81.90,-15.90,2
169.10,-7.50,-89.40,1
112.10,57.00,64.50,2
64.30,47.80,-9.20,3
36.50,27.90,-19.90,3
28.50,7.90,-20.00,3
200.00,0.00,-7.90,1
110.70,89.30,89.30,3
68.70,42.00,-47.30,3
398.20,0.00,-42.00,1
306.30,91.90,91.90,2
156.40,149.90,58.00,3
101.70,54.70,-95.30,2
59.00,42.80,-11.90,3
211.50,0.00,-42.80,1
147.20,64.30,64.30,3
573.60,0.00,-64.30,1
353.40,220.10,220.10,3
292.10,61.40,-158.80,1
249.70,42.40,-19.00,1
179.60,70.10,27.80,2
135.70,43.90,-26.20,2
89.50,46.20,2.20,3
76.30,13.20,-33.00,3
363.20,0.00,-13.20,1
312.90,50.30,50.30,1
187.40,125.50,75.20,3
129.30,58.10,-67.30,2
82.10,47.20,-10.90,3
46.30,35.80,-11.50,3
115.20,-68.90,-104.70,2
66.40,48.80,117.80,3
4.50,61.90,13.13,3
364.60,0.00,-61.90,1
209.90,154.70,154.70,3
125.90,84.00,-70.70,2
75.70,50.20,-33.80,3
66.10,9.60,-40.60,3
449.00,0.00,-9.60,1
283.90,165.10,165.10,3
222.80,61.10,-104.00,2
111.60,111.20,50.00,3
67.40,44.20,-66.90,3
30.00,37.40,-6.80,3
129.80,-99.80,-137.20,1
106.20,23.60,123.40,3
5.60,100.50,76.90,3
451.70,0.00,-100.50,1
323.70,127.90,127.90,3
260.50,63.20,-64.70,1
202.90,57.60,-5.60,1
149.50,53.50,-4.10,2
105.80,43.60,-9.80,2
395.90,0.00,-43.60,1
68.50,327.40,327.40,3
235.40,0.00,-327.40,1
171.90,63.50,63.50,2
113.60,58.20,-5.30,2
60.70,53.00,-5.20,3
33.70,27.00,-26.00,3
3.70,30.13,03.13,3
216.70,0.00,-30.10,1
127.90,88.80,88.80,3
32.30,95.60,6.80,3
365.30,0.00,-95.60,1
247.60,117.60,117.60,3
173.00,74.60,-43.00,2
142.30,30.70,-43.90,2
157.60,-15.30,-46.00,1
62.70,95.00,110.30,3
352.60,0.00,-95.00,1
159.40,193.20,193.20,3
104.10,55.30,-138.00,2
61.10,43.00,-12.30,3
28.70,32.40,-10.60,3
173.70,0.00,-32.40,1
56.00,117.70,117.70,3
38.70,17.30,-100.40,3
471.10,0.00,-17.30,1
339.20,131.90,131.90,2
259.30,79.90,-52.00,1
199.70,59.60,-20.30,2
147.80,51.90,-7.70,2
105.10,42.80,-9.10,2
74.20,30.90,-11.90,3
418.10,0.00,-30.90,1
330.40,87.70,87.70,2
218.00,112.50,24.80,2
158.80,59.20,-53.30,2
104.00,54.90,-4.30,2
65.90,38.10,-16.80,3
24.60,41.40,3.30,3
3.80,20.80,-20.60,3
363.60,0.00,-20.80,1
87.90,275.80,275.80,3
52.70,35.20,-240.60,3
164.80,0.00,-35.20,1
65.70,99.20,99.20,3
419.60,0.00,-99.20,1
309.40,110.20,110.20,2
35.50,273.90,163.70,3
5.40,30.13,-243.80,3
36.30,-30.90,-61.00,3
113.10,-76.80,-45.90,2
41.00,72.10,148.90,3
382.60,0.00,-72.10,1
318.90,63.70,63.70,1
242.80,76.10,12.40,1
184.10,58.70,-17.50,2
127.30,56.90,-1.80,2
86.20,41.00,-15.80,3
359.80,0.00,-41.00,1
317.10,42.70,42.70,1
204.90,112.20,69.60,3
80.00,124.90,12.60,3
38.00,42.00,-82.90,3
438.40,0.00,-42.00,1
242.90,195.40,195.40,3
150.00,92.90,-102.50,3
95.10,55.00,-38.00,3
64.90,30.20,-24.70,3
